"","type","vehicle_double_time","tv0","method","eu_tv","n_sim","n","tgi_c","Power"
"212","AUC",5,150,"Bliss",500,100,5,0.8,0.91
"213","CombPDX_CI",5,150,"Bliss",1000,100,5,0.8,0.92
"214","AUC",5,150,"Bliss",1000,100,5,0.8,0.96
"215","CombPDX_CI",5,150,"Bliss",1500,100,5,0.8,0.91
"216","AUC",5,150,"Bliss",1500,100,5,0.8,0.88
"217","CombPDX_CI",5,150,"Bliss",2000,100,5,0.8,0.96
"218","AUC",5,150,"Bliss",2000,100,5,0.8,0.95
"219","CombPDX_CI",5,150,"Bliss",2500,100,5,0.8,0.92
"220","AUC",5,150,"Bliss",2500,100,5,0.8,0.92
"221","CombPDX_CI",5,150,"Bliss",500,100,6,0.8,0.93
"222","AUC",5,150,"Bliss",500,100,6,0.8,0.92
"223","CombPDX_CI",5,150,"Bliss",1000,100,6,0.8,0.98
"224","AUC",5,150,"Bliss",1000,100,6,0.8,0.95
"225","CombPDX_CI",5,150,"Bliss",1500,100,6,0.8,0.97
"226","AUC",5,150,"Bliss",1500,100,6,0.8,0.98
"227","CombPDX_CI",5,150,"Bliss",2000,100,6,0.8,0.98
"228","AUC",5,150,"Bliss",2000,100,6,0.8,0.95
"229","CombPDX_CI",5,150,"Bliss",2500,100,6,0.8,0.97
"230","AUC",5,150,"Bliss",2500,100,6,0.8,0.96
"231","CombPDX_CI",5,150,"Bliss",500,100,7,0.8,0.96
"232","AUC",5,150,"Bliss",500,100,7,0.8,0.97
"233","CombPDX_CI",5,150,"Bliss",1000,100,7,0.8,0.98
"234","AUC",5,150,"Bliss",1000,100,7,0.8,0.96
"235","CombPDX_CI",5,150,"Bliss",1500,100,7,0.8,0.98
"236","AUC",5,150,"Bliss",1500,100,7,0.8,0.98
"237","CombPDX_CI",5,150,"Bliss",2000,100,7,0.8,0.96
"238","AUC",5,150,"Bliss",2000,100,7,0.8,0.99
"239","CombPDX_CI",5,150,"Bliss",2500,100,7,0.8,0.98
"240","AUC",5,150,"Bliss",2500,100,7,0.8,0.97
"241","CombPDX_CI",5,150,"Bliss",500,100,8,0.8,0.97
"242","AUC",5,150,"Bliss",500,100,8,0.8,0.99
"243","CombPDX_CI",5,150,"Bliss",1000,100,8,0.8,1
"244","AUC",5,150,"Bliss",1000,100,8,0.8,0.99
"245","CombPDX_CI",5,150,"Bliss",1500,100,8,0.8,0.98
"246","AUC",5,150,"Bliss",1500,100,8,0.8,1
"247","CombPDX_CI",5,150,"Bliss",2000,100,8,0.8,1
"248","AUC",5,150,"Bliss",2000,100,8,0.8,0.95
"249","CombPDX_CI",5,150,"Bliss",2500,100,8,0.8,1
"250","AUC",5,150,"Bliss",2500,100,8,0.8,1
"251","CombPDX_CI",5,150,"Bliss",500,100,9,0.8,0.99
"252","AUC",5,150,"Bliss",500,100,9,0.8,1
"253","CombPDX_CI",5,150,"Bliss",1000,100,9,0.8,0.99
"254","AUC",5,150,"Bliss",1000,100,9,0.8,0.99
"255","CombPDX_CI",5,150,"Bliss",1500,100,9,0.8,0.99
"256","AUC",5,150,"Bliss",1500,100,9,0.8,1
"257","CombPDX_CI",5,150,"Bliss",2000,100,9,0.8,0.99
"258","AUC",5,150,"Bliss",2000,100,9,0.8,1
"259","CombPDX_CI",5,150,"Bliss",2500,100,9,0.8,1
