"","type","cv_r","vehicle_double_time","tv0","method","n_sim","n","tgi_c","t","rp_a","rp_c","irt_a","irt_c","Power"
"99","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,10,10,0.47
"100","AUC",0.05,7,200,"Bliss",100,6,0.8,50,0.1,0.1,10,10,0.21
"101","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,10,10,0.52
"102","AUC",0.05,7,200,"Bliss",100,7,0.8,50,0.1,0.1,10,10,0.23
"103","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,50,0.1,0.1,10,10,0.61
"104","AUC",0.05,7,200,"Bliss",100,8,0.8,50,0.1,0.1,10,10,0.22
"105","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,50,0.1,0.1,10,10,0.61
"106","AUC",0.05,7,200,"Bliss",100,9,0.8,50,0.1,0.1,10,10,0.23
"107","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,50,0.1,0.1,10,10,0.65
"108","AUC",0.05,7,200,"Bliss",100,10,0.8,50,0.1,0.1,10,10,0.24
"109","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.75,60,0.1,0.1,10,10,0.03
"110","AUC",0.05,7,200,"Bliss",100,2,0.75,60,0.1,0.1,10,10,0.05
"111","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.75,60,0.1,0.1,10,10,0.09
"112","AUC",0.05,7,200,"Bliss",100,3,0.75,60,0.1,0.1,10,10,0.04
"113","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.75,60,0.1,0.1,10,10,0.03
"114","AUC",0.05,7,200,"Bliss",100,4,0.75,60,0.1,0.1,10,10,0.04
"115","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.75,60,0.1,0.1,10,10,0.05
"116","AUC",0.05,7,200,"Bliss",100,5,0.75,60,0.1,0.1,10,10,0.01
"117","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.75,60,0.1,0.1,10,10,0.02
"118","AUC",0.05,7,200,"Bliss",100,6,0.75,60,0.1,0.1,10,10,0.03
"119","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.75,60,0.1,0.1,10,10,0.07
"120","AUC",0.05,7,200,"Bliss",100,7,0.75,60,0.1,0.1,10,10,0.02
"121","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.75,60,0.1,0.1,10,10,0.06
"122","AUC",0.05,7,200,"Bliss",100,8,0.75,60,0.1,0.1,10,10,0
"123","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.75,60,0.1,0.1,10,10,0.05
"124","AUC",0.05,7,200,"Bliss",100,9,0.75,60,0.1,0.1,10,10,0
"125","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.75,60,0.1,0.1,10,10,0.07
"126","AUC",0.05,7,200,"Bliss",100,10,0.75,60,0.1,0.1,10,10,0
"127","CombPDX_CI",0.05,7,200,"Bliss",100,2,0.8,60,0.1,0.1,10,10,0.32
"128","AUC",0.05,7,200,"Bliss",100,2,0.8,60,0.1,0.1,10,10,0.29
"129","CombPDX_CI",0.05,7,200,"Bliss",100,3,0.8,60,0.1,0.1,10,10,0.33
"130","AUC",0.05,7,200,"Bliss",100,3,0.8,60,0.1,0.1,10,10,0.25
"131","CombPDX_CI",0.05,7,200,"Bliss",100,4,0.8,60,0.1,0.1,10,10,0.43
"132","AUC",0.05,7,200,"Bliss",100,4,0.8,60,0.1,0.1,10,10,0.14
"133","CombPDX_CI",0.05,7,200,"Bliss",100,5,0.8,60,0.1,0.1,10,10,0.4
"134","AUC",0.05,7,200,"Bliss",100,5,0.8,60,0.1,0.1,10,10,0.19
"135","CombPDX_CI",0.05,7,200,"Bliss",100,6,0.8,60,0.1,0.1,10,10,0.41
"136","AUC",0.05,7,200,"Bliss",100,6,0.8,60,0.1,0.1,10,10,0.22
"137","CombPDX_CI",0.05,7,200,"Bliss",100,7,0.8,60,0.1,0.1,10,10,0.51
"138","AUC",0.05,7,200,"Bliss",100,7,0.8,60,0.1,0.1,10,10,0.16
"139","CombPDX_CI",0.05,7,200,"Bliss",100,8,0.8,60,0.1,0.1,10,10,0.56
"140","AUC",0.05,7,200,"Bliss",100,8,0.8,60,0.1,0.1,10,10,0.15
"141","CombPDX_CI",0.05,7,200,"Bliss",100,9,0.8,60,0.1,0.1,10,10,0.56
"142","AUC",0.05,7,200,"Bliss",100,9,0.8,60,0.1,0.1,10,10,0.14
"143","CombPDX_CI",0.05,7,200,"Bliss",100,10,0.8,60,0.1,0.1,10,10,0.69
"144","AUC",0.05,7,200,"Bliss",100,10,0.8,60,0.1,0.1,10,10,0.12
